20-20
0_0_0 0_1_0 0_2_0 0_3_0 0_4_0 0_5_0 0_6_0 0_7_0 0_8_0 0_9_0 0_10_0 0_11_0 0_12_1 0_13_0 0_14_0 0_15_0 0_16_0 0_17_0 0_18_0 0_19_0 
1_0_0 1_1_0 1_2_0 1_3_0 1_4_0 1_5_0 1_6_0 1_7_0 1_8_0 1_9_0 1_10_0 1_11_0 1_12_1 1_13_0 1_14_0 1_15_0 1_16_0 1_17_0 1_18_0 1_19_0 
2_0_0 2_1_0 2_2_0 2_3_0 2_4_0 2_5_0 2_6_0 2_7_0 2_8_0 2_9_0 2_10_0 2_11_0 2_12_1 2_13_0 2_14_0 2_15_0 2_16_0 2_17_0 2_18_0 2_19_0 
3_0_0 3_1_0 3_2_0 3_3_0 3_4_0 3_5_0 3_6_0 3_7_0 3_8_0 3_9_0 3_10_0 3_11_0 3_12_1 3_13_0 3_14_0 3_15_0 3_16_0 3_17_0 3_18_0 3_19_0 
4_0_0 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_0 4_7_0 4_8_0 4_9_0 4_10_0 4_11_0 4_12_1 4_13_0 4_14_0 4_15_0 4_16_0 4_17_0 4_18_0 4_19_0 
5_0_0 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_0 5_7_0 5_8_0 5_9_0 5_10_0 5_11_0 5_12_1 5_13_0 5_14_0 5_15_0 5_16_0 5_17_0 5_18_0 5_19_0 
6_0_0 6_1_0 6_2_0 6_3_0 6_4_0 6_5_0 6_6_0 6_7_0 6_8_0 6_9_0 6_10_0 6_11_0 6_12_1 6_13_0 6_14_0 6_15_0 6_16_0 6_17_0 6_18_0 6_19_0 
7_0_0 7_1_0 7_2_0 7_3_0 7_4_0 7_5_0 7_6_0 7_7_0 7_8_0 7_9_0 7_10_0 7_11_0 7_12_1 7_13_0 7_14_0 7_15_0 7_16_0 7_17_0 7_18_0 7_19_0 
8_0_0 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_0 8_7_0 8_8_0 8_9_0 8_10_0 8_11_0 8_12_1 8_13_0 8_14_0 8_15_0 8_16_0 8_17_0 8_18_0 8_19_0 
9_0_0 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_0 9_7_0 9_8_0 9_9_6 9_10_0 9_11_0 9_12_1 9_13_0 9_14_0 9_15_0 9_16_0 9_17_0 9_18_0 9_19_0 
10_0_0 10_1_0 10_2_0 10_3_0 10_4_0 10_5_0 10_6_0 10_7_0 10_8_0 10_9_0 10_10_0 10_11_0 10_12_1 10_13_0 10_14_0 10_15_0 10_16_0 10_17_0 10_18_0 10_19_0 
11_0_0 11_1_0 11_2_0 11_3_0 11_4_0 11_5_0 11_6_0 11_7_0 11_8_0 11_9_0 11_10_0 11_11_0 11_12_1 11_13_0 11_14_0 11_15_0 11_16_0 11_17_0 11_18_0 11_19_0 
12_0_0 12_1_0 12_2_0 12_3_0 12_4_0 12_5_0 12_6_0 12_7_0 12_8_0 12_9_0 12_10_0 12_11_0 12_12_1 12_13_0 12_14_0 12_15_0 12_16_0 12_17_0 12_18_0 12_19_0 
13_0_0 13_1_0 13_2_0 13_3_0 13_4_0 13_5_0 13_6_0 13_7_0 13_8_0 13_9_0 13_10_0 13_11_0 13_12_1 13_13_0 13_14_0 13_15_0 13_16_0 13_17_0 13_18_0 13_19_0 
14_0_0 14_1_0 14_2_0 14_3_0 14_4_0 14_5_0 14_6_0 14_7_0 14_8_0 14_9_0 14_10_0 14_11_0 14_12_1 14_13_0 14_14_0 14_15_0 14_16_0 14_17_0 14_18_0 14_19_0 
15_0_0 15_1_0 15_2_0 15_3_0 15_4_0 15_5_0 15_6_0 15_7_0 15_8_0 15_9_0 15_10_0 15_11_0 15_12_1 15_13_0 15_14_0 15_15_0 15_16_0 15_17_0 15_18_0 15_19_0 
16_0_0 16_1_0 16_2_0 16_3_0 16_4_0 16_5_0 16_6_0 16_7_0 16_8_0 16_9_0 16_10_0 16_11_0 16_12_1 16_13_0 16_14_0 16_15_0 16_16_0 16_17_0 16_18_0 16_19_0 
17_0_0 17_1_0 17_2_0 17_3_0 17_4_0 17_5_0 17_6_0 17_7_0 17_8_0 17_9_0 17_10_0 17_11_0 17_12_1 17_13_0 17_14_0 17_15_0 17_16_0 17_17_0 17_18_0 17_19_0 
18_0_0 18_1_0 18_2_0 18_3_0 18_4_0 18_5_0 18_6_0 18_7_0 18_8_0 18_9_0 18_10_0 18_11_0 18_12_0 18_13_0 18_14_0 18_15_0 18_16_0 18_17_0 18_18_0 18_19_0 
19_0_0 19_1_0 19_2_0 19_3_0 19_4_0 19_5_0 19_6_0 19_7_0 19_8_0 19_9_0 19_10_0 19_11_0 19_12_0 19_13_0 19_14_0 19_15_0 19_16_0 19_17_0 19_18_0 19_19_0 
