30-16
0_0_0 0_1_0 0_2_0 0_3_0 0_4_0 0_5_0 0_6_1 0_7_0 0_8_0 0_9_0 0_10_0 0_11_0 0_12_0 0_13_0 0_14_0 0_15_0 
1_0_0 1_1_0 1_2_0 1_3_0 1_4_0 1_5_0 1_6_1 1_7_0 1_8_0 1_9_0 1_10_0 1_11_0 1_12_0 1_13_0 1_14_0 1_15_0 
2_0_0 2_1_0 2_2_0 2_3_0 2_4_2 2_5_0 2_6_1 2_7_0 2_8_0 2_9_0 2_10_0 2_11_0 2_12_0 2_13_0 2_14_0 2_15_0 
3_0_0 3_1_0 3_2_0 3_3_0 3_4_2 3_5_0 3_6_1 3_7_0 3_8_0 3_9_0 3_10_0 3_11_0 3_12_0 3_13_0 3_14_0 3_15_0 
4_0_0 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_1 4_7_0 4_8_0 4_9_0 4_10_0 4_11_0 4_12_0 4_13_0 4_14_0 4_15_0 
5_0_0 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_1 5_7_0 5_8_0 5_9_0 5_10_0 5_11_0 5_12_0 5_13_0 5_14_0 5_15_0 
6_0_0 6_1_0 6_2_0 6_3_2 6_4_0 6_5_0 6_6_1 6_7_0 6_8_0 6_9_0 6_10_0 6_11_0 6_12_0 6_13_0 6_14_0 6_15_0 
7_0_0 7_1_0 7_2_0 7_3_2 7_4_0 7_5_0 7_6_1 7_7_0 7_8_0 7_9_0 7_10_0 7_11_0 7_12_0 7_13_0 7_14_0 7_15_0 
8_0_0 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_1 8_7_0 8_8_0 8_9_0 8_10_0 8_11_0 8_12_0 8_13_0 8_14_0 8_15_0 
9_0_0 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_1 9_7_0 9_8_0 9_9_0 9_10_0 9_11_0 9_12_0 9_13_0 9_14_0 9_15_0 
10_0_0 10_1_0 10_2_0 10_3_2 10_4_0 10_5_0 10_6_1 10_7_0 10_8_0 10_9_0 10_10_0 10_11_0 10_12_0 10_13_0 10_14_0 10_15_0 
