50-12
0_0_1 0_1_1 0_2_1 0_3_1 0_4_1 0_5_1 0_6_1 0_7_1 0_8_1 0_9_1 0_10_1 0_11_1 
1_0_0 1_1_0 1_2_1 1_3_1 1_4_1 1_5_1 1_6_1 1_7_1 1_8_1 1_9_1 1_10_1 1_11_1 
2_0_0 2_1_0 2_2_0 2_3_0 2_4_0 2_5_0 2_6_0 2_7_1 2_8_1 2_9_1 2_10_1 2_11_1 
3_0_0 3_1_0 3_2_0 3_3_0 3_4_0 3_5_0 3_6_0 3_7_0 3_8_1 3_9_1 3_10_1 3_11_1 
4_0_0 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_0 4_7_0 4_8_0 4_9_0 4_10_1 4_11_1 
5_0_0 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_0 5_7_0 5_8_0 5_9_0 5_10_1 5_11_1 
6_0_0 6_1_0 6_2_0 6_3_0 6_4_0 6_5_0 6_6_0 6_7_0 6_8_0 6_9_0 6_10_0 6_11_1 
7_0_0 7_1_0 7_2_0 7_3_0 7_4_0 7_5_0 7_6_0 7_7_0 7_8_0 7_9_0 7_10_0 7_11_1 
8_0_0 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_0 8_7_0 8_8_9 8_9_0 8_10_0 8_11_1 
9_0_0 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_0 9_7_0 9_8_0 9_9_0 9_10_0 9_11_1 
10_0_0 10_1_0 10_2_0 10_3_0 10_4_0 10_5_0 10_6_0 10_7_0 10_8_0 10_9_0 10_10_0 10_11_1 
11_0_0 11_1_0 11_2_0 11_3_0 11_4_0 11_5_0 11_6_0 11_7_0 11_8_0 11_9_0 11_10_0 11_11_1 
12_0_0 12_1_0 12_2_0 12_3_0 12_4_0 12_5_0 12_6_0 12_7_0 12_8_0 12_9_0 12_10_0 12_11_1 
13_0_0 13_1_0 13_2_0 13_3_0 13_4_0 13_5_0 13_6_0 13_7_0 13_8_0 13_9_0 13_10_0 13_11_1 
14_0_0 14_1_0 14_2_0 14_3_0 14_4_0 14_5_0 14_6_0 14_7_0 14_8_0 14_9_0 14_10_0 14_11_1 
15_0_0 15_1_0 15_2_0 15_3_0 15_4_0 15_5_0 15_6_0 15_7_0 15_8_2 15_9_0 15_10_0 15_11_1 
16_0_0 16_1_0 16_2_0 16_3_0 16_4_0 16_5_0 16_6_0 16_7_0 16_8_2 16_9_0 16_10_0 16_11_1 
17_0_0 17_1_0 17_2_0 17_3_0 17_4_0 17_5_0 17_6_0 17_7_0 17_8_2 17_9_0 17_10_0 17_11_1 
18_0_0 18_1_0 18_2_0 18_3_0 18_4_0 18_5_0 18_6_0 18_7_0 18_8_2 18_9_0 18_10_0 18_11_1 
19_0_0 19_1_0 19_2_0 19_3_0 19_4_0 19_5_0 19_6_0 19_7_0 19_8_2 19_9_0 19_10_0 19_11_1 
20_0_0 20_1_0 20_2_0 20_3_0 20_4_0 20_5_2 20_6_0 20_7_0 20_8_2 20_9_0 20_10_0 20_11_1 
21_0_0 21_1_0 21_2_0 21_3_6 21_4_0 21_5_2 21_6_0 21_7_0 21_8_2 21_9_0 21_10_0 21_11_1 
22_0_0 22_1_0 22_2_0 22_3_0 22_4_0 22_5_2 22_6_0 22_7_0 22_8_0 22_9_0 22_10_0 22_11_1 
23_0_0 23_1_0 23_2_0 23_3_6 23_4_0 23_5_2 23_6_0 23_7_0 23_8_0 23_9_0 23_10_0 23_11_1 
24_0_0 24_1_0 24_2_0 24_3_0 24_4_0 24_5_2 24_6_0 24_7_0 24_8_0 24_9_0 24_10_0 24_11_1 
25_0_0 25_1_0 25_2_0 25_3_0 25_4_0 25_5_0 25_6_0 25_7_0 25_8_0 25_9_0 25_10_0 25_11_1 
26_0_0 26_1_0 26_2_0 26_3_0 26_4_0 26_5_0 26_6_0 26_7_0 26_8_0 26_9_0 26_10_0 26_11_1 
27_0_0 27_1_0 27_2_0 27_3_0 27_4_0 27_5_0 27_6_0 27_7_0 27_8_0 27_9_0 27_10_0 27_11_1 
28_0_0 28_1_0 28_2_0 28_3_0 28_4_0 28_5_0 28_6_0 28_7_0 28_8_0 28_9_0 28_10_0 28_11_1 
29_0_0 29_1_0 29_2_0 29_3_0 29_4_0 29_5_0 29_6_0 29_7_0 29_8_0 29_9_0 29_10_1 29_11_1 
30_0_0 30_1_0 30_2_0 30_3_0 30_4_0 30_5_0 30_6_0 30_7_0 30_8_0 30_9_0 30_10_1 30_11_1 
31_0_0 31_1_0 31_2_0 31_3_0 31_4_0 31_5_0 31_6_0 31_7_0 31_8_0 31_9_0 31_10_1 31_11_1 
32_0_0 32_1_0 32_2_0 32_3_0 32_4_0 32_5_0 32_6_0 32_7_0 32_8_0 32_9_0 32_10_1 32_11_1 
33_0_0 33_1_0 33_2_0 33_3_0 33_4_0 33_5_0 33_6_0 33_7_0 33_8_0 33_9_1 33_10_1 33_11_1 
34_0_0 34_1_0 34_2_0 34_3_0 34_4_0 34_5_0 34_6_4 34_7_0 34_8_0 34_9_1 34_10_1 34_11_1 
