20-11
0_0_0 0_1_0 0_2_0 0_3_0 0_4_0 0_5_0 0_6_0 0_7_0 0_8_0 0_9_0 0_10_1 
1_0_0 1_1_0 1_2_0 1_3_0 1_4_0 1_5_0 1_6_0 1_7_0 1_8_0 1_9_0 1_10_1 
2_0_0 2_1_0 2_2_0 2_3_0 2_4_0 2_5_0 2_6_0 2_7_0 2_8_0 2_9_0 2_10_1 
3_0_0 3_1_0 3_2_0 3_3_0 3_4_0 3_5_0 3_6_0 3_7_0 3_8_0 3_9_1 3_10_1 
4_0_0 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_0 4_7_0 4_8_1 4_9_1 4_10_1 
5_0_0 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_0 5_7_0 5_8_1 5_9_1 5_10_1 
6_0_0 6_1_0 6_2_0 6_3_0 6_4_0 6_5_0 6_6_0 6_7_0 6_8_1 6_9_1 6_10_1 
7_0_0 7_1_0 7_2_0 7_3_0 7_4_0 7_5_0 7_6_0 7_7_0 7_8_1 7_9_1 7_10_1 
8_0_0 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_0 8_7_0 8_8_1 8_9_1 8_10_1 
9_0_0 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_0 9_7_1 9_8_1 9_9_1 9_10_1 
10_0_0 10_1_0 10_2_0 10_3_0 10_4_0 10_5_0 10_6_1 10_7_1 10_8_1 10_9_1 10_10_1 
11_0_0 11_1_0 11_2_0 11_3_0 11_4_0 11_5_0 11_6_1 11_7_1 11_8_1 11_9_1 11_10_1 
12_0_0 12_1_0 12_2_0 12_3_0 12_4_0 12_5_1 12_6_1 12_7_1 12_8_1 12_9_1 12_10_1 
13_0_0 13_1_0 13_2_0 13_3_0 13_4_0 13_5_1 13_6_1 13_7_1 13_8_1 13_9_1 13_10_1 
14_0_0 14_1_0 14_2_0 14_3_0 14_4_1 14_5_1 14_6_1 14_7_1 14_8_1 14_9_1 14_10_1 
15_0_0 15_1_0 15_2_0 15_3_0 15_4_1 15_5_1 15_6_1 15_7_1 15_8_1 15_9_1 15_10_1 
16_0_0 16_1_0 16_2_0 16_3_0 16_4_7 16_5_1 16_6_1 16_7_1 16_8_1 16_9_1 16_10_1 
17_0_0 17_1_0 17_2_0 17_3_0 17_4_7 17_5_1 17_6_1 17_7_1 17_8_1 17_9_1 17_10_1 
18_0_0 18_1_0 18_2_0 18_3_0 18_4_7 18_5_1 18_6_1 18_7_1 18_8_1 18_9_1 18_10_1 
19_0_0 19_1_0 19_2_0 19_3_0 19_4_7 19_5_1 19_6_1 19_7_1 19_8_1 19_9_1 19_10_1 
